attribute,label,support,error_rate_group(%),error_rate_rest(%)
ethnicity,AFRICAN,14,7.14,6.39
ethnicity,ASIAN,66,1.52,6.57
ethnicity,MIXED,14,0.0,6.45
ethnicity,OTHER,16,0.0,6.45
ethnicity,WHITE,1890,6.67,1.82
gender,FEMALE,1226,6.36,6.46
gender,MALE,774,6.46,6.36
hair_color,BALD,8,0.0,6.43
hair_color,BLACK,1484,6.4,6.4
hair_color,BLONDE,258,6.59,6.37
hair_color,BROWN,102,5.88,6.43
hair_color,GREY,112,7.14,6.36
hair_color,LIGHT BROWN,32,6.25,6.4
hair_color,OTHER,2,0.0,6.41
hair_color,RED,2,0.0,6.41
hair_length,BALD,8,0.0,6.43
hair_length,LONG,846,5.56,7.02
hair_length,PONYTAIL,36,0.0,6.52
hair_length,SHORT,1108,7.31,5.27
hair_length,UNKNOW,2,0.0,6.41
is_ears_visible,False,472,7.63,6.02
is_ears_visible,True,1528,6.02,7.63
