Feature;Label;Videos;Mean_Errors;Total_Errors;% of Category
ethnicity;WHITE;163;4.276073619631902;697;97.48251748251748
is_ears_visible;True;127;4.330708661417323;550;76.92307692307692
hair_color;BLACK;123;4.317073170731708;531;74.26573426573427
hair_length;SHORT;112;4.178571428571429;468;65.45454545454545
gender;FEMALE;95;4.2;399;55.80419580419581
gender;MALE;72;4.388888888888889;316;44.19580419580419
hair_length;LONG;55;4.490909090909091;247;34.54545454545455
is_ears_visible;False;40;4.125;165;23.076923076923077
hair_color;BLONDE;23;3.782608695652174;87;12.167832167832168
hair_color;GREY;11;4.909090909090909;54;7.5524475524475525
hair_color;BROWN;7;3.7142857142857144;26;3.6363636363636362
hair_color;LIGHT BROWN;3;5.666666666666667;17;2.3776223776223775
ethnicity;ASIAN;2;3.5;7;0.9790209790209791
ethnicity;AFRICAN;1;5.0;5;0.6993006993006993
ethnicity;MIXED;1;6.0;6;0.8391608391608392
