Feature;Label;Videos;Total_Errors;Mean_Errors;% of Category;ethnicity;hair_color;hair_length;is_ears_visible
gender;FEMALE;16;88;5.5;50.57471264367817;;;;
gender;MALE;15;86;5.733333333333333;49.42528735632184;;;;
ethnicity;MIXED;1;6;6.0;3.4482758620689653;MIXED;;;
ethnicity;WHITE;30;168;5.6;96.55172413793103;WHITE;;;
hair_color;BLACK;22;131;5.954545454545454;75.28735632183908;;BLACK;;
hair_color;BLONDE;5;22;4.4;12.643678160919542;;BLONDE;;
hair_color;BROWN;1;3;3.0;1.7241379310344827;;BROWN;;
hair_color;GREY;2;10;5.0;5.747126436781609;;GREY;;
hair_color;LIGHT BROWN;1;8;8.0;4.597701149425287;;LIGHT BROWN;;
hair_length;LONG;11;63;5.7272727272727275;36.206896551724135;;;LONG;
hair_length;SHORT;20;111;5.55;63.793103448275865;;;SHORT;
is_ears_visible;False;9;48;5.333333333333333;27.586206896551722;;;;FALSE
is_ears_visible;True;22;126;5.7272727272727275;72.41379310344827;;;;TRUE
